বিখ্যাত
খ্ৰীষ্টান
সমজ্ঞান
অনুষ্ঠান 
মাটিৰ পাত্ৰ
মাটিৰ বস্তু
ব্ৰাহ্মণ
খোদাই
বৃত্তানুপ্ৰাস
জোনাক
সদ্গতি
প্ৰত্যাশা
সপোন
খৰম ‾ চেণ্ডেল
সান্ধ্যআইন
ছাব্বিচ
সমস্যা
অভ্যাস
বজাৰ
অধ্যাদেশ 
