খণ্ড হোৱা   
তড়িৎ অনু   
যুগ্মাভ্যাস
একাৱন্ন
দৰমহা
আগত থকা
পৰীক্ষা
পক্ষপাত
দিশভ্ৰান্ত
আচুতীয়া
সমাজবাদ
স্বিটাৰলেণ্ড
উদ্গনি  
তাত স্হিৰ হৈ থাক 
দৰিদ্ৰ 
মাননীয় 
অধ্যাপক
ডিপ্লোমা
বগা
লেফটেনেণ্ট
